,,,,-OISE,,,
23312,60,60345,60600,Lamécourt,lamecourt,49.42991875,2.4622135
23313,60,60346,60260,Lamorlaye,lamorlaye,49.156792604167,2.423611875
23314,60,60347,60220,Lannoy-Cuillère,lannoy cuillere,49.712267213115,1.7384103278688
23315,60,60348,60400,Larbroye,larbroye,49.572362972973,2.9588256756757
23316,60,60350,60310,Lassigny,lassigny,49.596307539683,2.8463894444444
23317,60,60351,60490,Lataule,lataule,49.533151744186,2.6756339534884
23318,60,60352,60240,Lattainville,lattainville,49.242496481481,1.8113394444444
23319,60,60353,60120,Lavacquerie,lavacquerie,49.679952361111,2.1058701388889
23320,60,60354,60210,Laverrière,laverriere,49.68709,2.0150188888889
23321,60,60355,60510,Laversines,laversines,49.426025806452,2.2020343010753
23322,60,60356,60240,Lavilletertre,lavilletertre,49.187505904762,1.9340964761905
