id,department_code,insee_code,zip_code,-CALVADOS,slug,gps_lat,gps_lng
4563,14,14077,14130,Blangy-le-Château,blangy le chateau,49.24684918239,0.28414396226415
4564,14,14078,14400,Blay,blay,49.277026022727,-0.83700693181818
4565,14,14079,14910,Blonville-sur-Mer,blonville sur mer,49.321283033708,0.03374898876404
4566,14,14080,14690,Le Bô,le bo,48.906128181818,-0.44075886363636
4567,14,14082,14340,La Boissière,la boissiere,49.130552413793,0.13277965517241
4568,14,14083,14340,Bonnebosq,bonnebosq,49.216984245283,0.08477537735849
4569,14,14084,14260,Bonnemaison,bonnemaison,49.000168188406,-0.58380369565217
4570,14,14085,14130,Bonneville-la-Louvet,bonneville la louvet,49.271312356322,0.3376567816092
4571,14,14086,14800,Bonneville-sur-Touques,bonneville sur touques,49.327536229508,0.11887418032787
4572,14,14087,14700,Bonnœil,bonnoeil,48.924138787879,-0.37064727272727
4573,14,14088,14420,Bons-Tassilly,bons tassilly,48.960666238532,-0.23419752293578
4574,14,14089,14210,Bougy,bougy,49.107531612903,-0.52380435483871
4575,14,14090,14220,Boulon,boulon,49.051604685714,-0.37600565714286
4576,14,14091,14430,Bourgeauville,bourgeauville,49.266778888889,0.0605212962963
4577,14,14092,14540,Bourguébus,bourguebus,49.115683658537,-0.28994170731707
4578,14,14093,14430,Branville,branville,49.265686410256,0.02345987179487
4579,14,14096,14260,Brémoy,bremoy,48.998372066667,-0.78444046666667
4580,14,14097,14190,Bretteville-le-Rabet,bretteville le rabet,49.027664871795,-0.26242769230769
4581,14,14098,14210,Thue et Mue,thue et mue,49.208257,-0.515212
4582,14,14098,14250,Thue et Mue,thue et mue,49.208257,-0.515212
4583,14,14098,14740,Thue et Mue,thue et mue,49.208257,-0.515212
4584,14,14100,14680,Bretteville-sur-Laize,bretteville sur laize,49.045723714286,-0.331178
4585,14,14101,14760,Bretteville-sur-Odon,bretteville sur odon,49.168720795455,-0.41822761363636
4586,14,14102,14130,Le Breuil-en-Auge,le breuil en auge,49.226102432432,0.22436871621622
4587,14,14103,14330,Le Breuil-en-Bessin,le breuil en bessin,49.253122421053,-0.85527736842105
4588,14,14104,14130,Le Brévedent,le brevedent,49.228485753425,0.29582260273973
4589,14,14106,14860,Bréville-les-Monts,breville les monts,49.235931298701,-0.21934532467532
4590,14,14107,14710,Bricqueville,bricqueville,49.287387361111,-0.95555881944444
4591,14,14110,14160,Brucourt,brucourt,49.248061043478,-0.10615669565217
4592,14,14111,14250,Bucéels,buceels,49.190498791209,-0.63391637362637
4593,14,14116,14190,Le Bû-sur-Rouvres,le bu sur rouvres,49.029265555556,-0.18042027777778
4594,14,14117,14390,Cabourg,cabourg,49.281313191489,-0.12565893617021
4595,14,14118,14000,Caen,caen,49.181788058824,-0.37257017647059
4596,14,14119,14630,Cagny,cagny,49.154236219512,-0.25427987804878
4597,14,14120,14240,Cahagnes,cahagnes,49.061861854839,-0.76777887096774
4598,14,14121,14490,Cahagnolles,cahagnolles,49.161984193548,-0.77412806451613
4599,14,14122,14210,La Caine,la caine,49.035578297872,-0.51544723404255
4600,14,14123,14610,Cairon,cairon,49.236348196721,-0.44331803278689
4601,14,14124,14230,La Cambe,la cambe,49.343140601504,-1.0149633082707
4602,14,14125,14610,Cambes-en-Plaine,cambes en plaine,49.230373529412,-0.37873529411765
4603,14,14126,14340,Cambremer,cambremer,49.145136625,0.05341525
4604,14,14127,14500,Campagnolles,campagnolles,48.890611460674,-0.94081651685393
4605,14,14130,14490,Campigny,campigny,49.247213703704,-0.80039283950617
4606,14,14131,14800,Canapville,canapville,49.315204888889,0.13326666666667
4607,14,14132,14230,Canchy,canchy,49.329424918033,-0.98382344262295
4608,14,14134,14370,Canteloup,canteloup,49.137420645161,-0.11925790322581
4609,14,14135,14740,Carcagny,carcagny,49.239066849315,-0.62391534246575
4610,14,14136,14230,Cardonville,cardonville,49.348137727273,-1.0519006818182
4611,14,14137,14650,Carpiquet,carpiquet,49.18676390625,-0.45570546875
4612,14,14138,14330,Cartigny-l'Épinay,cartigny l epinay,49.240141056338,-1.0045997183099
