id,department_code,insee_code,zip_code,-CHARENTE-MARITIME,slug,gps_lat,gps_lng
5880,17,17203,17290,Landrais,landrais,46.068802222222,-0.85542726495727
5881,17,17204,17500,Léoville,leoville,45.3797405,-0.33940828571429
5882,17,17205,17870,Loire-les-Marais,loire les marais,45.980226565657,-0.93279606060606
5883,17,17206,17470,Loiré-sur-Nie,loire sur nie,45.959594491525,-0.29229406779661
5884,17,17207,17111,Loix,loix,46.219887421875,-1.45017078125
5885,17,17208,17230,Longèves,longeves,46.234689054054,-0.97505986486486
5886,17,17209,17520,Lonzac,lonzac,45.593654927536,-0.39661971014493
5887,17,17210,17240,Lorignac,lorignac,45.454628518519,-0.67943203703704
5888,17,17211,17330,Loulay,loulay,46.044858125,-0.512865
5889,17,17212,17160,Louzignac,louzignac,45.830642884615,-0.23123365384615
5890,17,17213,17330,Lozay,lozay,46.048381452991,-0.54368179487179
5891,17,17214,17600,Luchat,luchat,45.717117222222,-0.76605037037037
5892,17,17215,17500,Lussac,lussac,45.466333513514,-0.4752572972973
5893,17,17216,17430,Lussant,lussant,45.9427309375,-0.82221354166667
5894,17,17217,17490,Macqueville,macqueville,45.793462967033,-0.20564681318681
5895,17,17218,17230,Marans,marans,46.323219238095,-0.97793633333333
5896,17,17219,17320,Marennes,marennes,45.81916955414,-1.1107293630573
5897,17,17220,17800,Marignac,marignac,45.513948104575,-0.46475169934641
5898,17,17221,17700,Marsais,marsais,46.122128230769,-0.62210738461538
5899,17,17222,17137,Marsilly,marsilly,46.22712954023,-1.1386566666667
5900,17,17223,17490,Massac,massac,45.860872894737,-0.21814473684211
5901,17,17224,17160,Matha,matha,45.858371565657,-0.31374484848485
5902,17,17225,17570,Les Mathes,les mathes,45.69361027027,-1.1858617117117
5903,17,17226,17400,Mazeray,mazeray,45.907845666667,-0.56079122222222
5904,17,17227,17800,Mazerolles,mazerolles,45.559966202532,-0.5902935443038
5905,17,17228,17600,Médis,medis,45.64306023622,-0.96374881889764
5906,17,17229,17210,Mérignac,merignac,45.328333571429,-0.30748875
5907,17,17230,17132,Meschers-sur-Gironde,meschers sur gironde,45.567975591398,-0.95536220430108
5908,17,17231,17130,Messac,messac,45.34796394958,-0.31799554621849
5909,17,17232,17120,Meursac,meursac,45.652978934911,-0.81598289940828
5910,17,17233,17500,Meux,meux,45.44559969697,-0.34899333333333
5911,17,17234,17330,Migré,migre,46.077347542373,-0.56088025423729
5912,17,17235,17770,Migron,migron,45.804248809524,-0.39319160714286
5913,17,17236,17150,Mirambeau,mirambeau,45.36091255102,-0.56983198979592
5914,17,17237,17780,Moëze,moeze,45.885895314286,-1.0539318857143
5915,17,17239,17160,Mons,mons,45.80685045977,-0.34702379310345
5916,17,17240,17130,Montendre,montendre,45.292368917197,-0.38837369426752
5917,17,17241,17270,Montguyon,montguyon,45.208933175182,-0.16893974452555
5918,17,17242,17800,Montils,montils,45.658752468354,-0.51156170886076
5919,17,17243,17210,Montlieu-la-Garde,montlieu la garde,45.235317410359,-0.26475298804781
5920,17,17244,17260,Montpellier-de-Médillan,montpellier de medillan,45.633361495327,-0.75328457943925
5921,17,17245,17220,Montroy,montroy,46.157780625,-1.0151985416667
5922,17,17246,17430,Moragne,moragne,45.9749315,-0.79874583333333
